frame,inliers,inlier_ratio,mean_reproj_error,viewpoint_diff,mahalanobis_sq,coverage_score,translation_change,orientation_change,alpha,max_translation_jump,max_orientation_jump,correction_type,full_correction_reason,roll_error,pitch_error,yaw_error,category,is_neighbor
77,,,,,,,,,,,,,,7.134,-3.534,2.682,high_roll_frames,True
78,,,,,,,,,,,,,,14.32,-9.51,7.601,high_roll_frames,True
79,,,,,,,,,,,,,,16.78,-9.86,9.419,high_roll_frames,True
80,,,,,,,,,,,,,,7.645,-5.799,3.028,high_roll_frames,False
81,,,,,,,,,,,,,,13.128,-11.374,5.811,high_roll_frames,True
82,,,,,,,,,,,,,,13.975,-10.654,8.068,high_roll_frames,True
83,,,,,,,,,,,,,,14.268,-10.338,6.439,high_roll_frames,True
84,,,,,,,,,,,,,,7.921,-12.149,6.876,high_roll_frames,True
85,,,,,,,,,,,,,,8.68,-5.98,3.947,high_roll_frames,False
86,,,,,,,,,,,,,,11.209,-8.738,5.03,high_roll_frames,True
87,,,,,,,,,,,,,,12.52,-16.566,6.403,high_roll_frames,True
89,,,,,,,,,,,,,,8.525,-5.229,3.88,high_roll_frames,True
90,,,,,,,,,,,,,,11.279,-3.696,4.103,high_roll_frames,True
91,,,,,,,,,,,,,,11.6,-8.495,6.177,high_roll_frames,True
94,,,,,,,,,,,,,,9.917,-4.85,3.948,high_roll_frames,True
113,,,,,,,,,,,,,,11.209,-8.738,5.03,high_roll_frames,True
115,,,,,,,,,,,,,,16.154,-11.392,8.7,high_roll_frames,True
117,,,,,,,,,,,,,,11.279,-3.696,4.103,high_roll_frames,False
118,,,,,,,,,,,,,,11.6,-8.495,6.177,high_roll_frames,True
119,,,,,,,,,,,,,,10.747,-4.344,4.093,high_roll_frames,False
121,,,,,,,,,,,,,,9.917,-4.85,3.948,high_roll_frames,True
122,,,,,,,,,,,,,,11.158,-6.074,4.22,high_roll_frames,True
123,,,,,,,,,,,,,,10.34,-4.703,4.989,high_roll_frames,True
124,,,,,,,,,,,,,,10.367,-6.906,4.24,high_roll_frames,False
127,,,,,,,,,,,,,,14.377,-9.455,7.789,high_roll_frames,True
129,,,,,,,,,,,,,,13.192,-9.704,7.91,high_roll_frames,True
130,,,,,,,,,,,,,,14.839,-8.337,8.09,high_roll_frames,True
152,,,,,,,,,,,,,,14.013,-12.783,7.349,high_roll_frames,True
155,,,,,,,,,,,,,,12.606,-5.223,4.373,high_roll_frames,True
4,,,,,,,,,,2.438,139.68,,,8.68,-5.98,3.947,high_pitch_frames,True
5,,,,,,,,,,4.894,280.42,,,11.209,-8.738,5.03,high_pitch_frames,True
6,,,,,,,,,,0.217,12.43,,,12.52,-16.566,6.403,high_pitch_frames,True
7,,,,,,,,,,0.75,42.95,,,16.154,-11.392,8.7,high_pitch_frames,False
8,,,,,,,,,,1.939,111.1,,,8.525,-5.229,3.88,high_pitch_frames,True
9,,,,,,,,,,4.389,251.47,,,11.279,-3.696,4.103,high_pitch_frames,True
10,,,,,,,,,,0.17,9.76,,,11.6,-8.495,6.177,high_pitch_frames,True
77,,,,,,,,,,,,,,7.134,-3.534,2.682,high_pitch_frames,True
78,,,,,,,,,,,,,,14.32,-9.51,7.601,high_pitch_frames,True
79,,,,,,,,,,,,,,16.78,-9.86,9.419,high_pitch_frames,True
80,,,,,,,,,,,,,,7.645,-5.799,3.028,high_pitch_frames,False
81,,,,,,,,,,,,,,13.128,-11.374,5.811,high_pitch_frames,True
82,,,,,,,,,,,,,,13.975,-10.654,8.068,high_pitch_frames,True
83,,,,,,,,,,,,,,14.268,-10.338,6.439,high_pitch_frames,True
84,,,,,,,,,,,,,,7.921,-12.149,6.876,high_pitch_frames,True
85,,,,,,,,,,,,,,8.68,-5.98,3.947,high_pitch_frames,True
86,,,,,,,,,,,,,,11.209,-8.738,5.03,high_pitch_frames,False
87,,,,,,,,,,,,,,12.52,-16.566,6.403,high_pitch_frames,True
89,,,,,,,,,,,,,,8.525,-5.229,3.88,high_pitch_frames,True
115,,,,,,,,,,,,,,16.154,-11.392,8.7,high_pitch_frames,True
117,,,,,,,,,,,,,,11.279,-3.696,4.103,high_pitch_frames,True
118,,,,,,,,,,,,,,11.6,-8.495,6.177,high_pitch_frames,False
119,,,,,,,,,,,,,,10.747,-4.344,4.093,high_pitch_frames,True
121,,,,,,,,,,,,,,9.917,-4.85,3.948,high_pitch_frames,True
122,,,,,,,,,,,,,,11.158,-6.074,4.22,high_pitch_frames,True
123,,,,,,,,,,,,,,10.34,-4.703,4.989,high_pitch_frames,True
144,,,,,,,,,,,,,,11.279,-3.696,4.103,high_pitch_frames,False
152,,,,,,,,,,,,,,14.013,-12.783,7.349,high_pitch_frames,True
158,,,,,,,,,,,,,,7.134,-3.534,2.682,high_pitch_frames,True
159,,,,,,,,,,,,,,14.32,-9.51,7.601,high_pitch_frames,False
160,,,,,,,,,,,,,,16.78,-9.86,9.419,high_pitch_frames,True
82,,,,,,,,,,,,,,13.975,-10.654,8.068,high_yaw_frames,True
83,,,,,,,,,,,,,,14.268,-10.338,6.439,high_yaw_frames,True
84,,,,,,,,,,,,,,7.921,-12.149,6.876,high_yaw_frames,True
85,,,,,,,,,,,,,,8.68,-5.98,3.947,high_yaw_frames,False
86,,,,,,,,,,,,,,11.209,-8.738,5.03,high_yaw_frames,True
87,,,,,,,,,,,,,,12.52,-16.566,6.403,high_yaw_frames,True
89,,,,,,,,,,,,,,8.525,-5.229,3.88,high_yaw_frames,False
90,,,,,,,,,,,,,,11.279,-3.696,4.103,high_yaw_frames,True
91,,,,,,,,,,,,,,11.6,-8.495,6.177,high_yaw_frames,True
