frame,inliers,inlier_ratio,mean_reproj_error,viewpoint_diff,mahalanobis_sq,coverage_score,translation_change,orientation_change,alpha,max_translation_jump,max_orientation_jump,correction_type,full_correction_reason
1,,,,,,,,,,5.199,297.88,,
2,,,,,,,,,,0.352,20.15,,
2,12.0,0.667,2.652,11.28,1.014,0.459,0.034,3.38,0.421,,,Partial Blend,Partial Blend
3,,,,,,,,,,1.076,61.64,,
3,12.0,0.857,3.171,12.23,0.101,0.485,0.051,2.38,0.44,,,Partial Blend,Partial Blend
4,,,,,,,,,,2.438,139.68,,
4,8.0,0.571,1.638,18.95,0.124,0.493,0.08,8.25,0.445,,,Partial Blend,Partial Blend
5,,,,,,,,,,4.894,280.42,,
5,10.0,0.769,2.108,18.26,0.03,0.781,0.106,7.17,,,,Full Correction,"High Coverage Override, Passed Mahalanobis Gating, Passed 3-Sigma Gating"
6,,,,,,,,,,0.217,12.43,,
6,15.0,0.75,3.59,16.1,7.436,0.481,0.076,4.86,0.436,,,Partial Blend,Partial Blend
7,,,,,,,,,,0.75,42.95,,
7,8.0,0.571,2.835,15.95,2.119,0.493,0.095,10.74,0.445,,,Partial Blend,Partial Blend
8,,,,,,,,,,1.939,111.1,,
8,10.0,0.714,2.917,15.6,0.095,0.496,0.071,5.19,0.447,,,Partial Blend,Partial Blend
9,,,,,,,,,,4.389,251.47,,
9,13.0,0.812,2.943,21.87,0.008,0.742,0.019,4.28,,,,Full Correction,"High Coverage Override, Passed Mahalanobis Gating, Passed 3-Sigma Gating"
10,,,,,,,,,,0.17,9.76,,
10,12.0,0.667,3.16,20.38,8.954,0.895,0.049,4.86,,,,Full Correction,"High Coverage Override, Passed Mahalanobis Gating, Passed 3-Sigma Gating"
11,,,,,,,,,,0.128,7.36,,
11,10.0,0.714,2.789,19.49,40.429,0.496,0.048,8.57,0.447,,,Partial Blend,Partial Blend
12,,,,,,,,,,0.357,20.46,,
12,12.0,0.706,3.744,20.49,2.299,0.73,0.045,5.39,,,,Full Correction,"High Coverage Override, Passed Mahalanobis Gating, Passed 3-Sigma Gating"
13,,,,,,,,,,0.099,5.66,,
13,13.0,0.722,3.619,17.67,36.217,0.325,0.025,6.4,0.328,,,Partial Blend,Partial Blend
14,,,,,,,,,,0.295,16.9,,
