frame,inliers,inlier_ratio,mean_reproj_error,viewpoint_diff,mahalanobis_sq,coverage_score,translation_change,orientation_change,alpha,max_translation_jump,max_orientation_jump,correction_type,full_correction_reason,roll_error,pitch_error,yaw_error
128,7.0,0.583,1.627,44.46,41.735,0.73,0.009,5.7,,,,Full Correction,High Coverage Override,12.606,-5.223,4.373
129,,,,,,,,,,,,,,13.192,-9.704,7.91
130,7.0,0.778,2.298,26.79,6112.097,0.432,0.032,47.46,0.402,,,Partial Blend,Partial Blend,14.839,-8.337,8.09
131,7.0,0.875,1.523,46.99,261.778,0.73,0.017,18.27,,,,Full Correction,High Coverage Override,7.134,-3.534,2.682
133,11.0,0.846,3.002,44.2,26.062,0.765,0.017,3.25,,,,Full Correction,"High Coverage Override, Passed 3-Sigma Gating",16.78,-9.86,9.419
134,13.0,0.867,3.652,44.54,13.319,0.747,0.004,2.17,,,,Full Correction,"High Coverage Override, Passed 3-Sigma Gating",7.645,-5.799,3.028
135,10.0,0.714,3.425,48.48,28.259,0.696,0.019,2.9,,,,Full Correction,"High Coverage Override, Passed 3-Sigma Gating",13.128,-11.374,5.811
136,11.0,0.846,3.619,44.38,87.05,0.765,0.014,5.29,,,,Full Correction,High Coverage Override,13.975,-10.654,8.068
137,10.0,0.714,2.78,46.24,15.3,0.765,0.01,2.14,,,,Full Correction,"High Coverage Override, Passed 3-Sigma Gating",14.268,-10.338,6.439
4,13.0,0.65,2.434,45.84,8.005,0.718,0.002,2.88,,,,Full Correction,"High Coverage Override, Passed Mahalanobis Gating, Passed 3-Sigma Gating",8.68,-5.98,3.947
5,15.0,0.625,3.03,43.91,7.998,0.648,0.013,2.61,,,,Full Correction,"High Coverage Override, Passed Mahalanobis Gating, Passed 3-Sigma Gating",11.209,-8.738,5.03
6,17.0,0.773,3.342,43.05,18.68,0.869,0.034,3.66,,,,Full Correction,"High Coverage Override, Passed 3-Sigma Gating",12.52,-16.566,6.403
