k,nis,nees,trP_pred,trP_upd,varPx_pred,varPy_pred,varPz_pred,varPx_upd,varPy_upd,varPz_upd,Kx,Ky,Kz,pos_err,ang_err
0,0.0002213506551401464,0.001612170534464474,1.3016333333333336,0.6639424407088882,0.10021111111111113,0.10021111111111113,0.10021111111111113,0.009092650468797257,0.009092650468797257,0.009092650468797257,0.9092650468797259,0.0,0.0,0.0037561488962662465,0.2819313780204076
1,nan,nan,0.66563626128892,nan,0.009323923995474454,0.009323923995474454,0.009323923995474454,nan,nan,nan,nan,nan,nan,0.004397965486196791,0.4289462468680827
2,0.011316284693600303,0.007563969497259424,0.6679970764248543,0.6282203804212997,0.009777529040785922,0.009777529040785922,0.009777529040785922,0.004943756634422002,0.004943756634422002,0.004943756634422002,0.4943756634422002,0.0,0.0,0.005890840518542327,0.36215322221220414
3,nan,nan,0.6305512667352,nan,0.005387385405722079,0.005387385405722079,0.005387385405722079,nan,nan,nan,nan,nan,nan,0.01308639240736736,0.44080090762085067
4,0.031491898034813136,0.051778617403140006,0.6335340938903378,0.6011308723553749,0.006048327790768039,0.006048327790768039,0.006048327790768039,0.0037688211940981164,0.0037688211940981164,0.0037688211940981164,0.37688211940981164,0.0,0.0,0.012950124967145316,0.3513452243437185
5,nan,nan,0.6039882071109672,nan,0.0043879327792955974,0.0043879327792955974,0.0043879327792955974,nan,nan,nan,nan,nan,nan,0.019777585698717168,0.4287371149775209
6,0.05490491602401477,0.11551327782128405,0.6074569016292373,0.5682059781469078,0.005210830952052271,0.005210830952052271,0.005210830952052271,0.0034257372055990255,0.0034257372055990255,0.0034257372055990255,0.3425737205599025,0.0,0.0,0.017244352744356324,0.4112700525441058
7,nan,nan,0.5714054392422552,nan,0.004158890904048133,0.004158890904048133,0.004158890904048133,nan,nan,nan,nan,nan,nan,0.023361224257364428,0.5555572766004371
8,0.06263993606139195,0.1804199888450641,0.5751504992085841,0.5307964817734928,0.005073910892824422,0.005073910892824422,0.005073910892824422,0.0033660215513412234,0.0033660215513412234,0.0033660215513412234,0.33660215513412234,0.0,0.0,0.019860139384491556,0.5503860956833252
9,nan,nan,0.5341320724991907,nan,0.004144551793240508,0.004144551793240508,0.004144551793240508,nan,nan,nan,nan,nan,nan,0.02515451002936738,0.7153366822896218
